Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
25,1.9553,238,0.469,4,174,127,0.62631443
19,1.9382,158,0.4667,8,173,128,0.71548445
19,1.5569,182,0.4645,2,163,138,0.39393602
23,1.2282,218,0.4622,6,168,133,0.54087087
24,1.857,232,0.46,2,144,157,0.68945385
23,1.9621,218,0.4577,3,143,158,0.53112574
15,1.959,106,0.4555,11,153,148,0.40198368
20,1.9563,180,0.4532,5,150,151,0.51272915
19,1.9346,150,0.451,10,166,135,0.48253019
25,1.9461,228,0.4487,3,160,141,0.63502752
19,1.9397,180,0.4465,5,163,138,0.4370577
30,1.935,284,0.4442,4,151,150,0.64054761
24,1.9701,150,0.442,21,177,124,0.62671879
20,1.4862,206,0.4397,2,157,144,0.56585283
30,1.8552,276,0.4375,6,155,146,0.66143429
20,1.9458,166,0.4352,6,151,150,0.56706472
26,2.0459,262,0.433,2,149,152,0.62311609
30,1.9634,300,0.4307,0,203,98,0.65816645
28,1.9636,264,0.4285,5,191,110,0.59381637
26,1.9712,212,0.4262,12,197,104,0.61462728
28,1.9633,280,0.424,1,184,117,0.63468076
25,1.9562,250,0.4217,0,163,138,0.50428556
31,1.9787,294,0.4195,4,163,138,0.7263353
29,1.4989,270,0.4172,6,187,114,0.61257351
26,1.2244,240,0.415,7,188,113,0.68064094
26,1.8747,252,0.4127,2,167,134,0.85388174
18,1.9418,120,0.4105,16,139,162,0.63068862
31,1.9392,302,0.4082,3,195,106,0.59897664
25,1.9478,240,0.406,0,178,123,0.63168967
25,2.1637,260,0.4037,0,170,131,0.63162491
27,2.0319,250,0.4015,7,193,108,0.58783636
25,1.7017,178,0.3992,21,191,110,0.56106635
28,1.2806,268,0.397,4,177,124,0.53957531
25,1.8582,242,0.3947,2,177,124,0.51638852
27,2.2432,214,0.3925,16,178,123,0.74026496
30,2.0395,292,0.3902,2,175,126,0.81613273
28,2.0397,272,0.388,2,202,99,0.49504757
30,2.1928,280,0.3857,6,185,116,0.50585308
31,2.3219,294,0.3835,5,193,108,0.65192818
25,2.0022,226,0.3812,6,191,110,0.51652922
22,2.2304,196,0.379,7,153,148,0.47248765
21,2.1168,166,0.3767,11,181,120,0.38945805
28,1.964,248,0.3745,8,185,116,0.61233462
28,2.1517,260,0.3722,6,172,129,0.59219349
34,2.0087,340,0.37,0,188,113,0.66719141
31,1.3657,302,0.3677,3,176,125,0.54669494
30,1.567,264,0.3655,10,182,119,0.58953142
22,1.9966,164,0.3632,14,183,118,0.44836918
28,1.9756,256,0.361,7,207,94,0.63236091
27,1.9693,234,0.3587,10,197,104,0.6668558
26,1.9745,260,0.3565,0,158,143,0.44747297
31,1.9585,310,0.3542,0,164,137,0.63075672
28,2.0289,260,0.352,5,193,108,0.59130522
38,1.9471,380,0.3497,0,188,113,0.61143397
35,1.9584,330,0.3475,6,190,111,0.68345532
26,1.9446,260,0.3452,0,170,131,0.376956
32,1.8167,304,0.343,5,159,142,0.52442341
29,1.2381,242,0.3407,12,176,125,0.66691956
26,1.6168,240,0.3385,5,198,103,0.47872721
24,1.9412,216,0.3362,6,180,121,0.49564682
34,1.9573,320,0.334,6,190,111,0.50581606
27,1.9589,270,0.3317,0,184,117,0.71908036
35,1.9706,326,0.3295,6,171,130,0.67123477
34,1.9798,324,0.3272,5,206,95,0.68713297
29,1.9727,274,0.325,4,202,99,0.53141732
32,1.9752,308,0.3227,5,215,86,0.54207459
35,2.0191,338,0.3205,4,187,114,0.6053889
28,1.8602,268,0.3182,4,188,113,0.52644307
27,2.1079,244,0.316,4,180,121,0.54701504
28,2.2695,274,0.3137,4,177,124,0.50901912
26,2.1821,248,0.3115,3,199,102,0.4621033
23,2.2315,206,0.3092,6,156,145,0.56193165
32,2.1473,304,0.307,4,191,110,0.51728109
34,1.9446,332,0.3047,2,197,104,0.54488498
35,1.9692,342,0.3025,2,196,105,0.53832501
30,1.9833,300,0.3002,0,203,98,0.51143008
36,1.4629,360,0.298,0,198,103,0.60379534
24,1.8446,216,0.2957,6,192,109,0.45155589
30,2.0107,284,0.2935,6,197,104,0.5214543
34,1.9476,332,0.2912,4,202,99,0.58058853
42,1.9593,408,0.289,4,212,89,0.70017441
33,1.7882,320,0.2867,0,211,90,0.66874042
31,1.2149,304,0.2845,6,198,103,0.54024232
34,1.6166,316,0.2822,6,210,91,0.6645972
23,1.9582,170,0.28,15,155,146,0.54681095
29,1.9414,290,0.2777,1,192,109,0.50658577
35,1.9485,346,0.2755,2,206,95,0.52171018
37,1.947,362,0.2732,2,203,98,0.5229094
27,1.9426,266,0.271,2,194,107,0.35959671
33,1.942,320,0.2687,0,183,118,0.51946023
32,1.9483,322,0.2665,2,201,100,0.52135311
31,1.9468,288,0.2642,3,203,98,0.51596935
36,1.9571,370,0.262,0,199,102,0.52103406
36,1.3931,360,0.2597,0,188,113,0.45080158
32,1.2633,308,0.2575,3,172,129,0.50976512
32,1.9401,308,0.2552,3,210,91,0.46227109
36,2.072,340,0.253,5,195,106,0.58641696
34,1.97,328,0.2507,3,189,112,0.48536674
33,1.9937,286,0.2485,12,219,82,0.51193038
41,1.98,402,0.2462,2,218,83,0.59148642
32,2.0175,292,0.244,7,192,109,0.51066982
24,1.9567,220,0.2417,5,177,124,0.37197118
31,1.9422,278,0.2395,8,169,132,0.47732932
37,1.9584,362,0.2372,2,206,95,0.4883276
39,1.9434,390,0.235,0,202,99,0.55959025
35,1.9388,326,0.2327,9,196,105,0.59837203
