Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
35,1.1559,357,0.154,3,199,102,0.30876603
36,1.1337,360,0.1517,0,189,112,0.29563063
43,1.1393,430,0.1495,0,175,126,0.48423393
41,1.1439,408,0.1472,2,198,103,0.42109393
38,1.1506,380,0.145,0,184,117,0.2942821
37,1.182,370,0.1427,0,199,102,0.3190082
36,1.1392,360,0.1405,0,189,112,0.36983832
38,1.1497,368,0.1382,2,199,102,0.37352364
38,1.1468,381,0.136,9,192,109,0.34484066
37,1.1566,370,0.1337,0,190,111,0.29052952
36,1.1394,355,0.1315,5,200,101,0.296831
39,1.1509,375,0.1292,5,187,114,0.34873915
33,1.1432,340,0.127,0,190,111,0.33704383
38,1.1386,378,0.1247,2,185,116,0.34081743
37,1.1388,370,0.1225,0,196,105,0.27977451
44,1.1408,428,0.1202,2,191,110,0.31560933
37,1.1353,375,0.118,5,190,111,0.35999173
35,1.1355,340,0.1157,10,206,95,0.28243423
40,1.1264,400,0.1135,0,194,107,0.28846798
38,1.1363,380,0.1112,0,195,106,0.33388433
44,1.1402,430,0.109,0,191,110,0.36879509
37,1.1354,368,0.1067,2,190,111,0.32578694
34,1.1447,348,0.1045,2,192,109,0.28633175
38,1.1364,376,0.1022,4,195,106,0.28480037
