Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
40,1.8581,387,0.325,6,206,95,0.61565233
35,1.3466,355,0.3227,7,182,119,0.60107539
36,2.0228,360,0.3205,0,205,96,0.51805295
37,1.8077,363,0.3182,7,209,92,0.52473029
33,1.9249,329,0.316,4,213,88,0.50997567
35,1.8569,350,0.3137,0,200,101,0.44857798
36,1.9054,358,0.3115,4,202,99,0.53735744
40,2.0654,394,0.3092,13,223,78,0.56389792
36,1.997,358,0.307,5,212,89,0.65818372
34,1.6384,336,0.3047,10,215,86,0.486016
33,1.2193,325,0.3025,8,206,95,0.5340667
39,1.7299,386,0.3002,6,213,88,0.60284974
43,2.1313,417,0.298,7,213,88,0.57494132
40,1.9799,403,0.2957,10,222,79,0.58980413
36,1.9511,349,0.2935,2,203,98,0.50134398
37,1.9238,365,0.2912,6,207,94,0.49068904
35,1.9679,360,0.289,0,200,101,0.49933252
37,1.861,362,0.2867,12,207,94,0.4871408
34,1.8585,339,0.2845,4,206,95,0.43167682
38,1.207,373,0.2822,12,226,75,0.45671718
37,1.8212,364,0.28,15,215,86,0.46539038
40,1.9447,400,0.2777,3,213,88,0.55447031
36,1.9767,358,0.2755,7,233,68,0.43799521
36,2.0541,355,0.2732,7,187,114,0.49187992
34,1.9884,333,0.271,8,197,104,0.46091434
33,1.5752,328,0.2687,3,188,113,0.47618317
38,1.5443,378,0.2665,2,191,110,0.53982238
39,1.9818,390,0.2642,0,200,101,0.4937712
38,1.9758,368,0.262,5,200,101,0.46378451
37,1.7943,374,0.2597,11,214,87,0.49647626
41,1.6102,403,0.2575,11,207,94,0.58413691
42,1.7025,420,0.2552,0,198,103,0.61657692
40,1.858,400,0.253,0,206,95,0.57249329
41,1.8851,409,0.2507,2,189,112,0.64195812
35,1.993,337,0.2485,3,199,102,0.48469375
39,1.8417,399,0.2462,3,211,90,0.52383541
39,1.8067,390,0.244,2,212,89,0.50073441
41,1.7919,409,0.2417,3,208,93,0.5394549
39,1.2924,389,0.2395,3,221,80,0.56092591
35,1.5625,350,0.2372,0,208,93,0.4543186
39,1.9579,390,0.235,0,192,109,0.51462448
39,2.0378,385,0.2327,6,198,103,0.5270709
43,2.0207,430,0.2305,0,191,110,0.55313342
40,1.9365,397,0.2282,4,205,96,0.45940214
37,1.9714,366,0.226,6,208,93,0.43233948
40,1.9888,400,0.2237,1,217,84,0.52989669
40,2.019,400,0.2215,1,221,80,0.49444751
38,1.42,370,0.2192,0,194,107,0.48578284
29,1.8212,300,0.217,1,196,105,0.42965084
38,2.0536,380,0.2147,0,190,111,0.42797492
40,1.9286,400,0.2125,0,194,107,0.51716759
41,1.8622,410,0.2102,0,205,96,0.51099223
38,1.968,379,0.208,2,206,95,0.44989708
44,1.9751,440,0.2057,0,183,118,0.5824366
39,1.8212,388,0.2035,2,190,111,0.58238277
38,1.8922,380,0.2012,0,201,100,0.49106586
39,1.958,389,0.199,2,207,94,0.5380189
42,1.4032,420,0.1967,0,192,109,0.57707128
41,1.4187,400,0.1945,0,198,103,0.47851136
36,2.0124,367,0.1922,3,194,107,0.51524374
38,1.9554,370,0.19,0,195,106,0.5026441
